id,gender,jobTitle,edu,perfEval,seniority,basePay,bonus
1,Male,Financial Analyst,College,2,3,163732.8,16373.28
2,Male,Data Scientist,PhD,4,1,186765.8,18676.58
3,Male,Warehouse Associate,College,1,3,142155.54,14215.554
4,Male,Software Engineer,College,5,3,208598,20859.8
5,Male,Marketing Associate,High School,1,2,131549.4,13154.94
6,Male,IT,Masters,3,5,225082.05,22508.205
7,Male,Software Engineer,PhD,1,4,186133.6,18613.36
8,Male,Manager,College,5,3,233643.8,23364.38
9,Male,Financial Analyst,Masters,5,2,190047,19004.7
10,Male,Software Engineer,College,5,3,208598,20859.8
11,Male,Manager,Masters,1,4,201293.12,20129.312
15,Male,Data Scientist,PhD,2,2,186765.8,18676.58
13,Male,Warehouse Associate,College,5,3,174341.7,17434.17
14,Male,Financial Analyst,Masters,3,2,172504.2,17250.42
80,Male,Data Scientist,PhD,2,2,186765.8,18676.58
16,Male,Marketing Associate,High School,1,2,131549.4,13154.94
17,Male,Graphic Designer,High School,1,1,136867.12,13686.712
18,Male,Graphic Designer,High School,5,2,149063.2,14906.32
19,Male,IT,PhD,3,2,192483.96,19248.396
20,Male,Software Engineer,College,3,2,179715.2,17971.52
21,Male,Warehouse Associate,High School,5,1,140814.45,14081.445
22,Male,Software Engineer,PhD,3,4,237480.8,23748.08
23,Male,Marketing Associate,High School,3,2,136708.2,13670.82
96,Male,Data Scientist,PhD,4,2,212526.6,21252.66
25,Male,Sales Associate,High School,2,1,145355.1,14535.51
26,Male,IT,PhD,2,2,180065.64,18006.564
27,Male,Manager,PhD,4,3,265994.48,26599.448
28,Male,Driver,High School,3,1,139854.43,13985.443
29,Male,Warehouse Associate,High School,1,2,136791.18,13679.118
30,Male,IT,Masters,3,1,169199.61,16919.961
31,Male,Manager,PhD,2,4,237238.32,23723.832
32,Male,Warehouse Associate,High School,1,1,135450.09,13545.009
119,Male,Data Scientist,PhD,4,3,238287.4,23828.74
34,Male,Manager,Masters,5,2,233643.8,23364.38
